,concept,label,2025-09-30,2024-09-30,2023-09-30,level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,1990869000.0,1717526000.0,1513557000.0,3,False,False
1,us-gaap_CostsAndExpensesAbstract,Operating expenses:,,,,3,False,False
2,us-gaap_CostOfRevenue,Total Cost of Revenue,353722000.0,348206000.0,311053000.0,4,False,False
3,us-gaap_ResearchAndDevelopmentExpense,Research and Development Expense,188347000.0,171940000.0,159950000.0,4,False,False
4,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",513028000.0,462834000.0,400565000.0,4,False,False
5,us-gaap_AmortizationOfIntangibleAssets,Depreciation and Amortization,0.0,917000.0,1100000.0,4,False,False
6,us-gaap_RestructuringCharges,Restructuring charges,10922000.0,0.0,0.0,4,False,False
7,us-gaap_GainLossOnSaleOfBusiness,Gain on product line asset sale,-0.0,-0.0,-1941000.0,4,False,False
8,us-gaap_CostsAndExpenses,Costs and Expenses,-1066019000.0,-983897000.0,-870727000.0,4,False,False
9,us-gaap_OperatingIncomeLoss,Operating Income,924850000.0,733629000.0,642830000.0,3,False,False
10,us-gaap_InterestExpenseNonoperating,Interest Expense (non-operating),-133647000.0,-105638000.0,-95546000.0,3,False,False
11,us-gaap_OtherNonoperatingIncomeExpense,"Other income, net",11392000.0,14034000.0,6340000.0,3,False,False
12,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,802595000.0,642025000.0,553624000.0,3,False,False
13,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,150649000.0,129214000.0,124249000.0,3,False,False
14,us-gaap_NetIncomeLoss,Net Income,651946000.0,512811000.0,429375000.0,3,False,False
15,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,,,3,False,False
16,us-gaap_OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,Foreign currency translation adjustments,-421000.0,10516000.0,22557000.0,4,False,False
17,us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive income,651525000.0,523327000.0,451932000.0,3,False,False
18,us-gaap_EarningsPerShareAbstract,Earnings Per Share,,,,3,False,False
19,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),26.9,20.78,17.18,4,False,False
20,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),26.54,20.45,16.93,4,False,False
21,us-gaap_WeightedAverageNumberOfSharesOutstandingDilutedDisclosureItemsAbstract,Shares used in computing basic earnings per share:,,,,3,False,False
22,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),24239000.0,24676000.0,24986000.0,4,False,False
23,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),24561000.0,25079000.0,25367000.0,4,False,False
