,concept,label,standard_concept,2022-12-31,2021-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_AssetsAbstract,ASSETS,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
1,us-gaap_AssetsCurrentAbstract,Current assets,,,,4,True,False,False,,,,,,,,,us-gaap_AssetsAbstract
2,us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,CashAndMarketableSecurities,5606457000.0,4884729000.0,6,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
3,us-gaap_AccountsReceivableNetCurrent,"Accounts receivable, less allowance of $63,294 and $50,491, respectively",TradeReceivables,1465383000.0,1066573000.0,6,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
4,us-gaap_PrepaidExpenseCurrent,Prepaid expenses,PrepaidExpenses,949826000.0,654894000.0,6,False,False,False,,,,,,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
5,us-gaap_RestrictedCashCurrent,Restricted cash,RestrictedCashCurrent,5917000.0,3063000.0,6,False,False,False,,,,,,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
6,us-gaap_OtherAssetsCurrent,Other current assets,OtherNonOperatingCurrentAssets,131939000.0,74834000.0,6,False,False,False,,,,,debit,1.0,1.0,us-gaap_AssetsCurrent,us-gaap_AssetsCurrentAbstract
7,us-gaap_AssetsCurrent,Total current assets,CurrentAssetsTotal,8159522000.0,6684093000.0,6,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsCurrentAbstract
8,us-gaap_PropertyPlantAndEquipmentNet,"Property, plant and equipment, net",PlantPropertyEquipmentNet,1487663000.0,1091929000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
9,us-gaap_OperatingLeaseRightOfUseAsset,Operating lease assets,OperatingLeaseRightOfUseAsset,1571395000.0,1538911000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
10,us-gaap_OperatingLeaseRightOfUseAsset,Initial Allocation - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_InitialAllocationMember,Initial Allocation,"lyv:PurchasePriceAllocationAxis: Initial Allocation, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
11,us-gaap_OperatingLeaseRightOfUseAsset,Valuation Adjustments - OCESA Acquisition,,,,5,False,True,True,lyv:PurchasePriceAllocationAxis,lyv_ValuationAdjustmentsMember,Valuation Adjustments,"lyv:PurchasePriceAllocationAxis: Valuation Adjustments, us-gaap:BusinessAcquisitionAxis: OCESA Acquisition",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
