,concept,label,standard_concept,2023-12-31,2022-12-31,2021-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_Revenues,Revenues,Revenue,22749073000.0,16681254000.0,6268447000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
1,us-gaap_Revenues,Operating Segments - Concerts,,18763669000.0,13494100000.0,4722190000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Concerts",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
2,us-gaap_Revenues,Operating Segments - Ticketing,,2959477000.0,2238618000.0,1134268000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Ticketing",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
3,us-gaap_Revenues,Operating Segments - Sponsorship and Advertising,,1095217000.0,968146000.0,411910000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
4,us-gaap_Revenues,Intersegment Eliminations - Other & Eliminations,,-69290000.0,-19610000.0,79000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Other & Eliminations",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
5,us-gaap_Revenues,Operating Segments - Corporate,,0.0,0.0,0.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Corporate",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
6,us-gaap_Revenues,Intersegment Eliminations - Concerts,,17773000.0,12821000.0,2505000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Concerts",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
7,us-gaap_Revenues,Intersegment Eliminations - Ticketing,,51517000.0,8643000.0,404000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Ticketing",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
8,us-gaap_Revenues,Intersegment Eliminations - Sponsorship and Advertising,,0.0,0.0,0.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
9,us-gaap_Revenues,Intersegment Eliminations,,-69290000.0,-21464000.0,-2909000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,srt:ConsolidationItemsAxis: Intersegment Eliminations,credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
