,concept,label,standard_concept,2025-06-30,2024-06-30,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_Revenues,Revenue,Revenue,10388758000.0,9822945000.0,1,False,False,False,,,,,credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
1,us-gaap_Revenues,Operating Segments - Concerts,,8430453000.0,7866414000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Concerts",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
2,us-gaap_Revenues,Operating Segments - Ticketing,,1437368000.0,1453855000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Ticketing",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
3,us-gaap_Revenues,Operating Segments - Sponsorship and Advertising,,556627000.0,523511000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
4,us-gaap_Revenues,Intersegment Eliminations - Other and Eliminations,,-35690000.0,-20835000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Other and Eliminations",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
5,us-gaap_Revenues,Operating Segments - Corporate Segment,,0.0,0.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Corporate Segment",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
6,us-gaap_Revenues,Intersegment Eliminations - Concerts,,25464000.0,12403000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Concerts",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
7,us-gaap_Revenues,Intersegment Eliminations - Ticketing,,10226000.0,8257000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Ticketing",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
8,us-gaap_Revenues,Intersegment Eliminations - Sponsorship and Advertising,,0.0,175000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,"srt:ConsolidationItemsAxis: Intersegment Eliminations, us-gaap:StatementBusinessSegmentsAxis: Sponsorship and Advertising",credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
9,us-gaap_Revenues,Intersegment Eliminations,,-35690000.0,-20835000.0,2,False,True,True,srt:ConsolidationItemsAxis,us-gaap_IntersegmentEliminationMember,Intersegment Eliminations,srt:ConsolidationItemsAxis: Intersegment Eliminations,credit,1.0,1.0,us-gaap_OperatingIncomeLoss,us-gaap_IncomeStatementAbstract
