,concept,label,standard_concept,2025-12-31,2024-12-31,2023-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_Revenues,Net revenues and financial income,Revenue,28893000000.0,20777000000.0,15107000000.0,3,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
1,us-gaap_Revenues,Net service revenues and financial income,,25286000000.0,18638000000.0,13617000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ServiceMember,Net service revenues and financial income,srt:ProductOrServiceAxis: Net service revenues and financial income,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
2,us-gaap_Revenues,Net product revenues,,3607000000.0,2139000000.0,1490000000.0,4,False,True,False,srt:ProductOrServiceAxis,us-gaap_ProductMember,Net product revenues,srt:ProductOrServiceAxis: Net product revenues,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
3,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Brazil,,12846000000.0,10033000000.0,6946000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Brazil",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
4,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Mexico,,5699000000.0,4183000000.0,2734000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Mexico",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
5,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Argentina,,5646000000.0,3614000000.0,3322000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Argentina",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
6,us-gaap_Revenues,Operating Segments - Net service revenues and financial income - Other Countries,,1095000000.0,808000000.0,615000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
7,us-gaap_Revenues,Operating Segments - Net service revenues and financial income,,25286000000.0,18638000000.0,13617000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net service revenues and financial income",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
8,us-gaap_Revenues,Operating Segments - Net product revenues - Brazil,,2355000000.0,1373000000.0,875000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Brazil",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
9,us-gaap_Revenues,Operating Segments - Net product revenues - Mexico,,776000000.0,481000000.0,337000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Mexico",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
10,us-gaap_Revenues,Operating Segments - Net product revenues - Argentina,,316000000.0,204000000.0,228000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Argentina",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
11,us-gaap_Revenues,Operating Segments - Net product revenues - Other Countries,,160000000.0,81000000.0,50000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
12,us-gaap_Revenues,Operating Segments - Net product revenues,,3607000000.0,2139000000.0,1490000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Net product revenues",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
13,us-gaap_Revenues,Operating Segments - Other Countries,,1255000000.0,889000000.0,665000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, us-gaap:StatementBusinessSegmentsAxis: Other Countries",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
14,us-gaap_Revenues,Operating Segments - Services - Brazil - Commerce,,6859000000.0,5695000000.0,3655000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Brazil, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
15,us-gaap_Revenues,Operating Segments - Services - Mexico - Commerce,,3432000000.0,2608000000.0,1653000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Mexico, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
16,us-gaap_Revenues,Operating Segments - Services - Argentina - Commerce,,1722000000.0,1207000000.0,1036000000.0,4,False,True,True,srt:ConsolidationItemsAxis,us-gaap_OperatingSegmentsMember,Operating Segments,"srt:ConsolidationItemsAxis: Operating Segments, srt:ProductOrServiceAxis: Services, us-gaap:StatementBusinessSegmentsAxis: Argentina, us-gaap:SubsegmentsAxis: Commerce",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_StatementLineItems
