,concept,label,2025-05-31,2024-05-31,2023-05-31,level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,46309000000.0,51362000000.0,51217000000.0,1,False,False
1,us-gaap_CostOfGoodsAndServicesSold,Cost of Goods and Services Sold,-26519000000.0,-28475000000.0,-28925000000.0,1,False,False
2,us-gaap_GrossProfit,Gross Profit,19790000000.0,22887000000.0,22292000000.0,1,False,False
3,us-gaap_MarketingAndAdvertisingExpense,Demand creation expense,4689000000.0,4285000000.0,4060000000.0,1,False,False
4,us-gaap_GeneralAndAdministrativeExpense,General and Administrative Expense,11399000000.0,12291000000.0,12317000000.0,1,False,False
5,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",-16088000000.0,-16576000000.0,-16377000000.0,1,False,False
6,us-gaap_InterestIncomeExpenseNonoperatingNet,"Interest expense (income), net",107000000.0,161000000.0,6000000.0,1,False,False
7,us-gaap_OtherNonoperatingIncomeExpense,"Other (income) expense, net",76000000.0,228000000.0,280000000.0,1,False,False
8,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,3885000000.0,6700000000.0,6201000000.0,1,False,False
9,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,666000000.0,1000000000.0,1131000000.0,1,False,False
10,us-gaap_NetIncomeLoss,Net Income,3219000000.0,5700000000.0,5070000000.0,1,False,False
11,nke_EarningsPerShareBasicAndDilutedEPSAbstract,Earnings per common share:,,,,1,True,False
12,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),2.17,3.76,3.27,2,False,False
13,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),2.16,3.73,3.23,2,False,False
14,us-gaap_WeightedAverageNumberOfSharesOutstandingBasicAbstract,Weighted average common shares outstanding:,,,,1,False,False
15,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),1484900000.0,1517600000.0,1551600000.0,2,False,False
16,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),1487600000.0,1529700000.0,1569800000.0,2,False,False
