,concept,label,2025-11-30 (Q4),2024-11-30 (Q4),2025-11-30,level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,12427000000.0,12354000000.0,24147000000.0,1,False,False
1,us-gaap_CostOfGoodsAndServicesSold,Cost of Goods and Services Sold,-7382000000.0,-6965000000.0,-14159000000.0,1,False,False
2,us-gaap_GrossProfit,Gross Profit,5045000000.0,5389000000.0,9988000000.0,1,False,False
3,us-gaap_MarketingAndAdvertisingExpense,Demand creation expense,1273000000.0,1122000000.0,2461000000.0,1,False,False
4,us-gaap_GeneralAndAdministrativeExpense,General and Administrative Expense,2766000000.0,2883000000.0,5594000000.0,1,False,False
5,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",-4039000000.0,-4005000000.0,-8055000000.0,1,False,False
6,us-gaap_InterestIncomeExpenseNonoperatingNet,"Interest (income) expense, net",9000000.0,24000000.0,27000000.0,1,False,False
7,us-gaap_OtherNonoperatingIncomeExpense,"Other (income) expense, net",-16000000.0,8000000.0,-39000000.0,1,False,False
8,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,999000000.0,1416000000.0,1921000000.0,1,False,False
9,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,-207000000.0,-253000000.0,-402000000.0,1,False,False
10,us-gaap_NetIncomeLoss,Net Income,792000000.0,1163000000.0,1519000000.0,1,False,False
11,nke_EarningsPerShareBasicAndDilutedEPSAbstract,Earnings per common share:,,,,1,True,False
12,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),0.54,0.78,1.03,2,False,False
13,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),0.53,0.78,1.03,2,False,False
14,us-gaap_WeightedAverageNumberOfSharesOutstandingBasicAbstract,Weighted average common shares outstanding:,,,,1,False,False
15,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),1479500000.0,1486800000.0,1478100000.0,2,False,False
16,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),1481000000.0,1490000000.0,1480000000.0,2,False,False
