,concept,label,2025-08-02,2024-08-03,2023-07-29,level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,1267171000.0,1337468000.0,1592521000.0,1,False,False
1,us-gaap_CostOfGoodsAndServicesSold,Cost of Goods and Services Sold,-704232000.0,-745430000.0,-916908000.0,1,False,False
2,us-gaap_GrossProfit,Gross Profit,562939000.0,592038000.0,675613000.0,1,False,False
3,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",-601844000.0,-725465000.0,-830894000.0,1,False,False
4,us-gaap_OperatingIncomeLoss,Operating Income,-38905000.0,-133427000.0,-155281000.0,1,False,False
5,us-gaap_InterestIncomeExpenseNonoperatingNet,Interest income,10709000.0,11250000.0,5841000.0,1,False,False
6,us-gaap_OtherNonoperatingIncomeExpense,"Other income (expense), net",173000.0,1631000.0,-25000.0,1,False,False
7,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,-28023000.0,-120546000.0,-149465000.0,1,False,False
8,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,-821000.0,1661000.0,-871000.0,1,False,False
9,us-gaap_IncomeLossFromContinuingOperations,Net Income from Continuing Operations,-28844000.0,-118885000.0,-150336000.0,1,False,False
10,us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,"Net income (loss) from discontinued operations, net of income taxes",105000.0,-9955000.0,-21637000.0,1,False,False
11,us-gaap_NetIncomeLoss,Net Income,-28739000.0,-128840000.0,-171973000.0,1,False,False
12,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,,,1,False,False
13,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,"Change in unrealized gains and losses on available-for-sale securities, net of tax",-99000.0,267000.0,1738000.0,2,False,False
14,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,"Other Comprehensive Income (Loss), Foreign Currency Transaction and Translation Gain (Loss) Arising During Period, Net of Tax",0.0,-1129000.0,2316000.0,2,False,False
15,us-gaap_OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,Foreign currency translation,0.0,1145000.0,,2,False,False
16,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"Total other comprehensive income (loss), net of tax",-99000.0,-862000.0,4054000.0,2,False,False
17,us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive loss,-28838000.0,-129702000.0,-167919000.0,1,False,False
18,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasicAbstract,Loss per share from continuing operations attributable to common stockholders:,,,,1,False,False
19,us-gaap_IncomeLossFromContinuingOperationsPerBasicShare,Basic (in dollars per share),-0.22,-0.99,-1.31,2,False,False
20,us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare,Diluted (in dollars per share),-0.22,-0.99,-1.31,2,False,False
21,sfix_IncomeLossPerShareFromDiscontinuedOperationsAttributableToCommonStockholdersAbstract,Earnings (loss) per share from discontinued operations attributable to common stockholders:,,,,1,True,False
22,us-gaap_DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTaxPerBasicShare,Basic (in dollars per share),0.0,-0.08,-0.19,2,False,False
23,us-gaap_DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTaxPerDilutedShare,Diluted (in dollars per share),0.0,-0.08,-0.19,2,False,False
24,us-gaap_EarningsPerShareAbstract,Earnings Per Share,,,,1,False,False
25,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),-0.22,-1.07,-1.5,2,False,False
26,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),-0.22,-1.07,-1.5,2,False,False
27,us-gaap_WeightedAverageNumberOfSharesOutstandingDilutedDisclosureItemsAbstract,Weighted-average shares used to compute earnings (loss) per share attributable to common stockholders:,,,,1,False,False
28,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),128784547.0,120214198.0,114684980.0,2,False,False
29,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),128784547.0,120214198.0,114684980.0,2,False,False
