,concept,label,2025-11-01 (Q4),2024-11-02 (Q4),level,abstract,dimension
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Contract Revenue,342127000.0,318818000.0,1,False,False
1,us-gaap_CostOfGoodsAndServicesSold,Cost of Goods and Services Sold,-192803000.0,-174013000.0,1,False,False
2,us-gaap_GrossProfit,Gross Profit,149324000.0,144805000.0,1,False,False
3,us-gaap_SellingGeneralAndAdministrativeExpense,"Selling, General and Administrative Expense",-157899000.0,-153771000.0,1,False,False
4,us-gaap_OperatingIncomeLoss,Operating Income,-8575000.0,-8966000.0,1,False,False
5,us-gaap_InterestIncomeExpenseNonoperatingNet,Interest income,2356000.0,2932000.0,1,False,False
6,us-gaap_OtherNonoperatingIncomeExpense,"Other expense, net",-85000.0,-72000.0,1,False,False
7,us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income Before Tax from Continuing Operations,-6304000.0,-6106000.0,1,False,False
8,us-gaap_IncomeTaxExpenseBenefit,Income Tax Expense,-58000.0,-157000.0,1,False,False
9,us-gaap_IncomeLossFromContinuingOperations,Net Income from Continuing Operations,-6362000.0,-6263000.0,1,False,False
10,us-gaap_IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,"Net income from discontinued operations, net of income taxes",0.0,7000.0,1,False,False
11,us-gaap_NetIncomeLoss,Net Income,-6362000.0,-6256000.0,1,False,False
12,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecreaseAbstract,Other comprehensive income (loss):,,,1,False,False
13,us-gaap_OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,"Change in unrealized gains and losses on available-for-sale securities, net of tax",109000.0,40000.0,2,False,False
14,us-gaap_OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,"Total other comprehensive income (loss), net of tax",109000.0,40000.0,2,False,False
15,us-gaap_ComprehensiveIncomeNetOfTax,Comprehensive loss,-6253000.0,-6216000.0,1,False,False
16,us-gaap_NetIncomeLossAvailableToCommonStockholdersBasicAbstract,Loss per share from continuing operations attributable to common stockholders:,,,1,False,False
17,us-gaap_IncomeLossFromContinuingOperationsPerBasicShare,Basic (in dollars per share),-0.05,-0.05,2,False,False
18,us-gaap_IncomeLossFromContinuingOperationsPerDilutedShare,Diluted (in dollars per share),-0.05,-0.05,2,False,False
19,sfix_IncomeLossPerShareFromDiscontinuedOperationsAttributableToCommonStockholdersAbstract,Earnings per share from discontinued operations attributable to common stockholders:,,,1,True,False
20,us-gaap_DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTaxPerBasicShare,Basic (in dollars per share),0.0,0.0,2,False,False
21,us-gaap_DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTaxPerDilutedShare,Diluted (in dollars per share),0.0,0.0,2,False,False
22,us-gaap_EarningsPerShareAbstract,Earnings Per Share,,,1,False,False
23,us-gaap_EarningsPerShareBasic,Earnings Per Share (Basic),-0.05,-0.05,2,False,False
24,us-gaap_EarningsPerShareDiluted,Earnings Per Share (Diluted),-0.05,-0.05,2,False,False
25,us-gaap_WeightedAverageNumberOfSharesOutstandingDilutedDisclosureItemsAbstract,Weighted-average shares used to compute earnings (loss) per share attributable to common stockholders:,,,1,False,False
26,us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Shares Outstanding (Basic),133345590.0,125972658.0,2,False,False
27,us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Shares Outstanding (Diluted),133345590.0,125972658.0,2,False,False
