,concept,label,standard_concept,2024-12-31,2023-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_AssetsAbstract,Assets,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
1,us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,CashAndMarketableSecurities,2538293000.0,3085020000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
2,us-gaap_CashAndCashEquivalentsAtCarryingValue,Parent Company,,30760000.0,201000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,srt_ParentCompanyMember,Parent Company,srt:ConsolidatedEntitiesAxis: Parent Company,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
3,us-gaap_RestrictedCashAndCashEquivalents,Restricted cash and restricted cash equivalents,OtherOperatingCurrentAssets,171067000.0,530558000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
4,us-gaap_RestrictedCashAndCashEquivalents,"Variable Interest Entity, Primary Beneficiary",,20719000.0,50547000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
5,us-gaap_OtherInvestments,"Investment securities (includes available-for-sale securities of $1,804,043 and $595,187 at fair value with associated amortized cost of $1,807,686 and $596,757, as of December 31, 2024 and 2023, respectively)",LongtermInvestments,1895689000.0,701935000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
6,us-gaap_LoansReceivableHeldForSaleAmount,"Loans held for sale, at fair value",TradeReceivables,17684892000.0,15396771000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
7,us-gaap_LoansReceivableHeldForSaleAmount,"Variable Interest Entity, Primary Beneficiary",,171421000.0,502757000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
8,us-gaap_LoansReceivableHeldForSaleAmount,Personal Loans - Personal loans,,17532396000.0,15330573000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_PersonalLoanPortfolioSegmentMember,Personal Loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Personal Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Personal loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
9,us-gaap_LoansReceivableHeldForSaleAmount,Home Loans - Home loans,,152496000.0,66198000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_HomeLoanPortfolioSegmentMember,Home Loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Home Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Home loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
10,us-gaap_LoansReceivableHeldForSaleAmount,"Variable Interest Entity, Primary Beneficiary - Personal Loans - Personal loans",,171421000.0,502757000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary, us-gaap:FinancingReceivablePortfolioSegmentAxis: Personal Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Personal loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
11,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Loans held for investment, at fair value",,8597368000.0,6725484000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
12,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Variable Interest Entity, Primary Beneficiary",,80812000.0,221461000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
13,sofi_FinancingReceivableHeldForInvestmentAtFairValue,Student Loans - Student loans,,8597368000.0,6725484000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_StudentLoanPortfolioSegmentMember,Student Loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Student Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Student loans",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
14,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Variable Interest Entity, Primary Beneficiary - Student Loans - Student loans",,80812000.0,221461000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary, us-gaap:FinancingReceivablePortfolioSegmentAxis: Student Loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Student loans",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
15,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,"Loans held for investment at amortized cost (less allowance for credit losses of $46,684 and $54,695 as of December 31, 2024 and 2023, respectively)",NetLoansAndLeases,1246458000.0,836159000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
