,concept,label,standard_concept,2024-12-31,2023-12-31,2022-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_InterestAndOtherIncomeAbstract,Interest income,,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
1,us-gaap_InterestAndFeeIncomeLoansAndLeases,Loans and securitizations,NetInterestIncome,2601988000.0,1944128000.0,759504000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestIncomeOperating,us-gaap_InterestAndOtherIncomeAbstract
2,us-gaap_InterestIncomeOther,Other,InterestIncome,205829000.0,106939000.0,13867000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_InterestIncomeOperating,us-gaap_InterestAndOtherIncomeAbstract
3,us-gaap_InterestIncomeOperating,Total interest income,TotalInterestIncomeOperating,2807817000.0,2051067000.0,773371000.0,3,False,False,False,,,,,,1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestAndOtherIncomeAbstract
4,us-gaap_InterestIncomeOperating,Parent Company,,10058000.0,0.0,0.0,3,False,True,True,srt:ConsolidatedEntitiesAxis,srt_ParentCompanyMember,Parent Company,srt:ConsolidatedEntitiesAxis: Parent Company,,1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestAndOtherIncomeAbstract
5,us-gaap_InterestExpenseAbstract,Interest expense,,,,,1,True,False,False,,,,,,,,,us-gaap_IncomeStatementAbstract
6,sofi_InterestExpenseSecuritizationsAndWarehouses,Securitizations and warehouses,,112398000.0,244220000.0,110127000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
7,us-gaap_InterestExpenseDeposits,Deposits,InterestExpenseDeposits,930154000.0,507820000.0,59793000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
8,sofi_InterestExpenseCorporateBorrowings,Corporate borrowings,,48346000.0,36833000.0,18438000.0,2,False,False,False,,,,,debit,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
9,us-gaap_InterestExpenseOther,Other,InterestExpense,438000.0,454000.0,917000.0,2,False,False,False,,,,,,1.0,1.0,us-gaap_InterestExpenseOperating,us-gaap_InterestExpenseAbstract
10,us-gaap_InterestExpenseOperating,Total interest expense,InterestExpense,1091336000.0,789327000.0,189275000.0,3,False,False,False,,,,,,-1.0,1.0,us-gaap_InterestIncomeExpenseNet,us-gaap_InterestExpenseAbstract
