,concept,label,standard_concept,2025-03-31,2024-12-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_AssetsAbstract,Assets,,,,3,True,False,False,,,,,,,,,us-gaap_StatementLineItems
1,us-gaap_CashAndCashEquivalentsAtCarryingValue,Cash and cash equivalents,CashAndMarketableSecurities,2085697000.0,2538293000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
2,us-gaap_RestrictedCashAndCashEquivalents,Restricted cash and restricted cash equivalents,OtherOperatingCurrentAssets,630439000.0,171067000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
3,us-gaap_RestrictedCashAndCashEquivalents,"Variable Interest Entity, Primary Beneficiary",,8899000.0,20719000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
4,us-gaap_OtherInvestments,"Investment securities (includes available-for-sale securities of $2,072,637 and $1,804,043 at fair value with associated amortized cost of $2,065,629 and $1,807,686, as of March 31, 2025 and December 31, 2024, respectively)",LongtermInvestments,2153456000.0,1895689000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
5,us-gaap_OtherInvestments,"Level 1 - Fair Value, Recurring",,252571000.0,273652000.0,5,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel1Member,Level 1,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 1, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
6,us-gaap_OtherInvestments,"Level 2 - Fair Value, Recurring",,1872155000.0,1596643000.0,5,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel2Member,Level 2,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 2, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
7,us-gaap_OtherInvestments,"Level 3 - Fair Value, Recurring",,28730000.0,25394000.0,5,False,True,True,us-gaap:FairValueByFairValueHierarchyLevelAxis,us-gaap_FairValueInputsLevel3Member,Level 3,"us-gaap:FairValueByFairValueHierarchyLevelAxis: Level 3, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
8,us-gaap_OtherInvestments,"Total Loans - Fair Value, Recurring",,2153456000.0,1895689000.0,5,False,True,True,us-gaap:FairValueByMeasurementBasisAxis,us-gaap_EstimateOfFairValueFairValueDisclosureMember,Total Loans,"us-gaap:FairValueByMeasurementBasisAxis: Total Loans, us-gaap:FairValueByMeasurementFrequencyAxis: Fair Value, Recurring",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
9,us-gaap_LoansReceivableHeldForSaleAmount,"Loans held for sale, at fair value",TradeReceivables,18226063000.0,17684892000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
10,us-gaap_LoansReceivableHeldForSaleAmount,"Variable Interest Entity, Primary Beneficiary",,60145000.0,171421000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
11,us-gaap_LoansReceivableHeldForSaleAmount,Personal loans - Personal Loans,,17869230000.0,17532396000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_PersonalLoanPortfolioSegmentMember,Personal loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Personal loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Personal Loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
12,us-gaap_LoansReceivableHeldForSaleAmount,Home loans - Home Loans,,356833000.0,152496000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_HomeLoanPortfolioSegmentMember,Home loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Home loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Home Loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
13,us-gaap_LoansReceivableHeldForSaleAmount,"Variable Interest Entity, Primary Beneficiary - Personal loans - Personal Loans",,60145000.0,171421000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary, us-gaap:FinancingReceivablePortfolioSegmentAxis: Personal loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Personal Loans",,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
14,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Loans held for investment, at fair value",,9571457000.0,8597368000.0,4,False,False,False,,,,,debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
15,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Variable Interest Entity, Primary Beneficiary",,77227000.0,80812000.0,5,False,True,False,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
16,sofi_FinancingReceivableHeldForInvestmentAtFairValue,Student loans - Student Loans,,9571457000.0,8597368000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_StudentLoanPortfolioSegmentMember,Student loans,"us-gaap:FinancingReceivablePortfolioSegmentAxis: Student loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Student Loans",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
17,sofi_FinancingReceivableHeldForInvestmentAtFairValue,"Variable Interest Entity, Primary Beneficiary - Student loans - Student Loans",,77227000.0,80812000.0,5,False,True,True,srt:ConsolidatedEntitiesAxis,us-gaap_VariableInterestEntityPrimaryBeneficiaryMember,"Variable Interest Entity, Primary Beneficiary","srt:ConsolidatedEntitiesAxis: Variable Interest Entity, Primary Beneficiary, us-gaap:FinancingReceivablePortfolioSegmentAxis: Student loans, us-gaap:FinancingReceivableRecordedInvestmentByClassOfFinancingReceivableAxis: Student Loans",debit,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
18,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,"Loans held for investment, at amortized cost (less allowance for credit losses of $44,369 and $46,684, as of March 31, 2025 and December 31, 2024, respectively)",NetLoansAndLeases,1296413000.0,1246458000.0,4,False,False,False,,,,,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
19,us-gaap_FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,Secured loans,,831520000.0,806441000.0,5,False,True,True,us-gaap:FinancingReceivablePortfolioSegmentAxis,sofi_SecuredLoansPortfolioSegmentMember,Secured loans,us-gaap:FinancingReceivablePortfolioSegmentAxis: Secured loans,,1.0,1.0,us-gaap_Assets,us-gaap_AssetsAbstract
