,concept,label,standard_concept,2025-07-31,2024-07-31,2023-07-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,Revenue,2673115000.0,2167771000.0,1616952000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
1,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,United States - Revenue Benchmark - Geographic Concentration Risk,,1359325000.0,1092304000.0,808527000.0,2,False,True,True,srt:StatementGeographicalAxis,country_US,United States,"srt:StatementGeographicalAxis: United States, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
2,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,"Europe, Middle East and Africa - Revenue Benchmark - Geographic Concentration Risk",,792823000.0,672421000.0,515136000.0,2,False,True,True,srt:StatementGeographicalAxis,us-gaap_EMEAMember,"Europe, Middle East and Africa","srt:StatementGeographicalAxis: Europe, Middle East and Africa, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
3,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Asia Pacific - Revenue Benchmark - Geographic Concentration Risk,,423811000.0,327816000.0,241250000.0,2,False,True,True,srt:StatementGeographicalAxis,srt_AsiaPacificMember,Asia Pacific,"srt:StatementGeographicalAxis: Asia Pacific, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
4,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Other - Revenue Benchmark - Geographic Concentration Risk,,97156000.0,75230000.0,52039000.0,2,False,True,True,srt:StatementGeographicalAxis,zs_OtherMember,Other,"srt:StatementGeographicalAxis: Other, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
5,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue Benchmark - Geographic Concentration Risk,,2673115000.0,2167771000.0,1616952000.0,2,False,True,True,us-gaap:ConcentrationRiskByBenchmarkAxis,us-gaap_SalesRevenueNetMember,Revenue Benchmark,"us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
6,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Channel partners - Revenue Benchmark - Customer Concentration Risk,,2360224000.0,1967908000.0,1488379000.0,2,False,True,True,srt:MajorCustomersAxis,zs_ChannelPartnersMember,Channel partners,"srt:MajorCustomersAxis: Channel partners, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
7,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Direct customers - Revenue Benchmark - Customer Concentration Risk,,312891000.0,199863000.0,128573000.0,2,False,True,True,srt:MajorCustomersAxis,zs_DirectCustomersMember,Direct customers,"srt:MajorCustomersAxis: Direct customers, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
8,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue Benchmark - Customer Concentration Risk,,2673115000.0,2167771000.0,1616952000.0,2,False,True,True,us-gaap:ConcentrationRiskByBenchmarkAxis,us-gaap_SalesRevenueNetMember,Revenue Benchmark,"us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
9,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Reportable Segment,,2673115000.0,2167771000.0,1616952000.0,2,False,True,True,us-gaap:StatementBusinessSegmentsAxis,zs_ReportableSegmentMember,Reportable Segment,us-gaap:StatementBusinessSegmentsAxis: Reportable Segment,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
