,concept,label,standard_concept,2026-01-31,2025-01-31,level,abstract,dimension,is_breakdown,dimension_axis,dimension_member,dimension_member_label,dimension_label,balance,weight,preferred_sign,parent_concept,parent_abstract_concept
0,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,Revenue,1603863000.0,1275855000.0,2,False,False,False,,,,,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
1,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,United States - Revenue Benchmark - Geographic Concentration Risk,,859289000.0,647700000.0,2,False,True,True,srt:StatementGeographicalAxis,country_US,United States,"srt:StatementGeographicalAxis: United States, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
2,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,"Europe, Middle East and Africa - Revenue Benchmark - Geographic Concentration Risk",,440670000.0,378981000.0,2,False,True,True,srt:StatementGeographicalAxis,us-gaap_EMEAMember,"Europe, Middle East and Africa","srt:StatementGeographicalAxis: Europe, Middle East and Africa, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
3,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Asia Pacific - Revenue Benchmark - Geographic Concentration Risk,,246659000.0,202199000.0,2,False,True,True,srt:StatementGeographicalAxis,srt_AsiaPacificMember,Asia Pacific,"srt:StatementGeographicalAxis: Asia Pacific, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
4,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Other - Revenue Benchmark - Geographic Concentration Risk,,57245000.0,46975000.0,2,False,True,True,srt:StatementGeographicalAxis,zs_OtherMember,Other,"srt:StatementGeographicalAxis: Other, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
5,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue Benchmark - Geographic Concentration Risk,,1603863000.0,1275855000.0,2,False,True,True,us-gaap:ConcentrationRiskByBenchmarkAxis,us-gaap_SalesRevenueNetMember,Revenue Benchmark,"us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Geographic Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
6,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Channel partners - Revenue Benchmark - Customer Concentration Risk,,1354468000.0,1131347000.0,2,False,True,True,srt:MajorCustomersAxis,zs_ChannelPartnersMember,Channel partners,"srt:MajorCustomersAxis: Channel partners, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
7,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Direct customers - Revenue Benchmark - Customer Concentration Risk,,249395000.0,144508000.0,2,False,True,True,srt:MajorCustomersAxis,zs_DirectCustomersMember,Direct customers,"srt:MajorCustomersAxis: Direct customers, us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
8,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue Benchmark - Customer Concentration Risk,,1603863000.0,1275855000.0,2,False,True,True,us-gaap:ConcentrationRiskByBenchmarkAxis,us-gaap_SalesRevenueNetMember,Revenue Benchmark,"us-gaap:ConcentrationRiskByBenchmarkAxis: Revenue Benchmark, us-gaap:ConcentrationRiskByTypeAxis: Customer Concentration Risk",credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
9,us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Reportable Segment,,1603863000.0,1275855000.0,2,False,True,True,us-gaap:StatementBusinessSegmentsAxis,zs_ReportableSegmentMember,Reportable Segment,us-gaap:StatementBusinessSegmentsAxis: Reportable Segment,credit,1.0,1.0,us-gaap_GrossProfit,us-gaap_IncomeStatementAbstract
