concept,label,2024-10-31,2025-01-31,2025-10-31,2026-01-31
us-gaap_RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,627955000.0,1275855000.0,788112000.0,1603863000.0
us-gaap_CostOfRevenue,Cost of revenue,141462000.0,289960000.0,184753000.0,376013000.0
us-gaap_GrossProfit,Gross profit,486493000.0,985895000.0,603359000.0,1227850000.0
us-gaap_SellingAndMarketingExpense,Sales and marketing,306087000.0,613959000.0,373562000.0,742508000.0
us-gaap_ResearchAndDevelopmentExpense,Research and development,154254000.0,325114000.0,200498000.0,429635000.0
us-gaap_GeneralAndAdministrativeExpense,General and administrative,56819000.0,117629000.0,65661000.0,143842000.0
us-gaap_OperatingExpenses,Total operating expenses,517160000.0,1056702000.0,639721000.0,1315985000.0
us-gaap_OperatingIncomeLoss,Loss from operations,-30667000.0,-70807000.0,-36362000.0,-88135000.0
us-gaap_InvestmentIncomeInterest,Interest income,30048000.0,60926000.0,33154000.0,67047000.0
us-gaap_InterestExpenseNonoperating,Interest expense,-3143000.0,-5482000.0,-2127000.0,-6348000.0
us-gaap_OtherNonoperatingIncomeExpense,"Other income (expense), net",,-5588000.0,,-2236000.0
us-gaap_IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Loss before income taxes,-4414000.0,-20951000.0,-8374000.0,-29672000.0
us-gaap_IncomeTaxExpenseBenefit,Provision for (benefit from) income taxes,,-1176000.0,,16255000.0
us-gaap_NetIncomeLoss,Net loss,-12051000.0,-19775000.0,-11615000.0,-45927000.0
us-gaap_EarningsPerShareBasic,Basic (in dollars per share),-0.08,-0.13,-0.07,-0.29
us-gaap_EarningsPerShareDiluted,Diluted (in dollars per share),-0.08,-0.13,-0.07,-0.29
us-gaap_WeightedAverageNumberOfSharesOutstandingBasic,Basic (in shares),152557000.0,153114000.0,158596000.0,159139000.0
us-gaap_WeightedAverageNumberOfDilutedSharesOutstanding,Diluted (in shares),152557000.0,153114000.0,158596000.0,159139000.0
us-gaap_OtherNonoperatingIncomeExpense,"Other expense, net",-652000.0,,-3039000.0,
us-gaap_IncomeTaxExpenseBenefit,Provision for income taxes,7637000.0,,3241000.0,
